pitcher,pitch_1,pitch_2,pitch_3,tunnel_score,composite_tunnel_score,avg_run_value
453286,CH,CU,FF,0.37693495018660933,0.28622914811295747,-0.0032624622405281654
453286,CH,CU,SL,0.37328400609521717,0.01811494164941178,0.02073096995558478
453286,CH,FF,SL,0.2716955217747758,-0.3215034766169387,0.006374948886418061
453286,CU,FF,SL,0.3766205972175485,0.2858285002376522,0.010496956948661368
500779,CH,CU,FF,0.47000190978438466,0.05893637346607717,0.0001627719240508785
500779,CH,CU,SI,0.3130607094625664,-0.14821579247557273,0.0021253252380291294
500779,CH,FF,SI,0.4323782939858691,-0.27146084028412953,-0.0003059549900368778
500779,CU,FF,SI,0.3345039361415916,-0.11375795612891892,-0.0017863071605695264
518585,FF,FS,SL,0.33016197841978584,-0.0344558785041901,-0.005279401179219411
518876,CH,CU,FC,0.36834183733345727,-0.18588547116770748,0.00816391811918698
518876,CH,CU,FF,0.36442799389936464,-0.16097003160877274,0.005921679087262345
518876,CH,CU,SI,0.323077790716861,-0.20575286485694103,0.00670799556828019
518876,CH,CU,SL,0.48944516312169384,-0.13864887559689867,-0.0005851379124554856
518876,CH,FC,FF,0.256440038090832,-0.556532881358139,0.012757892652343238
518876,CH,FC,SI,0.24916165744059934,-0.5578906330932659,0.014634707202758175
518876,CH,FC,SL,0.37697846335780105,-0.3596843718059041,0.008456278386857584
518876,CH,FF,SI,0.25431724157122887,-0.5513197588493689,0.012081248601917054
518876,CH,FF,SL,0.38568090954073614,-0.31868926980764256,0.006725278024012049
518876,CH,SI,SL,0.2890552070055689,-0.43392160903072613,0.005977643484660462
518876,CU,FC,FF,0.19424453569495115,-0.37787156476562983,0.013782069056121794
518876,CU,FC,SI,0.2879263936974173,-0.25055388128102135,0.015131837863540921
518876,CU,FC,SL,0.42766564175204697,-0.11027633578608832,0.0068408407428640575
518876,CU,FF,SI,0.28493977888571775,-0.2543603695169609,0.012512382607159962
518876,CU,FF,SL,0.42822588899265296,-0.07965859626766335,0.005663069315260196
518876,CU,SI,SL,0.4325604251101845,-0.06621550027101163,0.00048816682019776686
518876,FC,FF,SI,0.15072963601483644,-0.790455340746912,0.02026829775127349
518876,FC,FF,SL,0.25546517963414045,-0.4846512954702949,0.01458797063612839
518876,FC,SI,SL,0.293871538283943,-0.4277831179606018,0.01549322667275477
518876,FF,SI,SL,0.3035012130892713,-0.41550994375721456,0.012705821268280147
519242,CH,FF,SI,0.36990895304859567,-0.26533008106231226,-0.012064606618334
519242,CH,FF,SL,0.4136813329737457,0.22154374508694372,-0.00761889904642513
519242,CH,SI,SL,0.18919503876162727,-0.07940933549186284,-0.011976680116570364
519242,FF,SI,SL,0.3257381268231186,0.10945872550831413,-0.010430325288298292
527048,CH,CU,FC,0.3240564261430634,-0.18596615659235516,-0.00654868755652302
527048,CH,CU,SI,0.4378174969514075,0.11055770830508145,-0.007797813120843569
527048,CH,FC,SI,0.3747110870087431,-0.2211953082527031,-0.005740731422889037
527048,CU,FC,SI,0.27033217983507174,-0.1029050009798654,-0.005134903999334931
542888,FC,FF,ST,0.2645987848084072,-0.3080668647015921,-0.0026949418383883624
543037,CH,FF,KC,0.43155008222415026,0.09723442308809517,-0.009172995425948228
543037,CH,FF,SL,0.22607858019510182,-0.332123982677212,-0.009809460776464482
543037,CH,KC,SL,0.40183527370854494,-0.18135548088976514,0.006420875016268927
543037,FF,KC,SL,0.3767696316548461,0.027415864687233265,-0.0082581670240078
543135,CU,FC,FF,0.2630179266068443,0.1295681630706931,0.004574460047180383
543135,CU,FC,FS,0.34482685901007076,0.09520328145330713,-0.007545254945943659
543135,CU,FC,SI,0.13464210577855368,-0.06417615246675852,-4.849003542516533e-05
543135,CU,FF,FS,0.33894443034130806,0.22633770366531428,-0.00343548776503954
543135,CU,FF,SI,0.24985115698845953,0.11278690508544013,0.008696401817129981
543135,CU,FS,SI,0.32709653080475376,0.1811100832898588,-0.007949713869547709
543135,FC,FF,FS,0.2837179020879618,-0.4428228794389333,-0.0009517950658767596
543135,FC,FF,SI,0.19074672261913375,-0.6386436099026186,0.012206527891868772
543135,FC,FS,SI,0.27778334960740186,-0.48051384463023367,-0.005721214415467259
543135,FF,FS,SI,0.22961096761897296,-0.5117830308224179,-0.0006392599518569625
543243,CU,FC,FF,0.25514555253233384,-0.09251235043183414,0.0025460250776900267
543243,CU,FC,SI,0.31586831763285683,-0.026896837652391998,-0.001740300970960262
543243,CU,FC,ST,0.445874901248269,0.009407073965723082,0.0010762074730735996
543243,CU,FF,SI,0.3051135130339718,-0.028827387416753798,-0.009483704149026845
543243,CU,FF,ST,0.4291381779129515,0.1292440270752715,-0.005689281879462441
543243,CU,SI,ST,0.42273358362513935,0.10930464914017268,-0.0091346734719514
543243,FC,FF,SI,0.16941973409312794,-0.6632886944452862,-0.01028796590578806
543243,FC,FF,ST,0.3159338237030049,-0.30657296212058843,-0.007842065239899006
543243,FC,SI,ST,0.2377644973807943,-0.41797763620776845,-0.011108829432165814
543243,FF,SI,ST,0.30377477781631435,-0.32206986012920674,-0.017464040185422025
544150,CH,FC,FF,0.5272323617683737,0.0023639681655011034,-0.0009797090664499996
547179,CH,CU,FC,0.16383457332236934,-0.4871627406547973,0.012932107024730596
547179,CH,CU,FF,0.18429107529105138,-0.3281535490713951,0.0184366210245459
547179,CH,CU,SI,0.14902922968133184,-0.4001449366578779,0.02104800782486956
547179,CH,CU,SL,0.16860811709651172,-0.6524000085222997,0.017205644540727805
547179,CH,CU,ST,0.2317937010893579,-0.6054917030025305,0.01698951726080878
547179,CH,FC,FF,0.19858800379261188,-0.3778063409645749,0.01311404634740469
547179,CH,FC,SI,0.1519848261314927,-0.4642524372280599,0.017549523881484556
547179,CH,FC,SL,0.17354300153129576,-0.542663649391199,0.011812086025350166
547179,CH,FC,ST,0.2184668435007616,-0.3659389466786373,0.012975124488529272
547179,CH,FF,SI,0.15198963371833762,-0.43719670721027953,0.021340555334646176
547179,CH,FF,SL,0.1550877645812511,-0.4332480899875683,0.017182793271647574
547179,CH,FF,ST,0.2672104950947961,-0.17087733151005471,0.017854211424965825
547179,CH,SI,SL,0.09364281068008377,-0.5386102669042667,0.019964992976639437
547179,CH,SI,ST,0.21449768668876676,-0.2651102496513839,0.020103722946961236
547179,CH,SL,ST,0.23521026865140707,-0.5159204097243179,0.01543392575399893
547179,CU,FC,FF,0.1023660353019988,-0.4325683198431733,0.013444723142403404
547179,CU,FC,SI,0.09448887523173884,-0.46965748872287255,0.01744748927450462
547179,CU,FC,SL,0.16390019310338036,-0.48707910719678155,0.011063526914702852
547179,CU,FC,ST,0.11087512488412544,-0.5030663089331924,0.012867386979109057
547179,CU,FF,SI,0.11855869766836158,-0.4119305132654225,0.02141468373448506
547179,CU,FF,SL,0.16950997100311346,-0.34699230235348105,0.016854365413279247
547179,CU,FF,ST,0.18368379132793775,-0.27733344832494006,0.0179888745877368
547179,CU,SI,SL,0.14679103469280538,-0.4029975518863937,0.018467567700413676
547179,CU,SI,ST,0.1696970005127676,-0.32220943908248345,0.01883276999080211
547179,CU,SL,ST,0.2382627249472464,-0.5120300054661872,0.011968441197836998
547179,FC,FF,SI,0.13509832976892763,-0.7152629926158444,0.01909194628561146
547179,FC,FF,SL,0.1880288910883027,-0.4764809220026203,0.013595616629146209
547179,FC,FF,ST,0.1839409693897466,-0.27700567078128685,0.015898289418465415
547179,FC,SI,SL,0.15396862272659498,-0.5469408802125352,0.017675143133132974
547179,FC,SI,ST,0.15861284652317684,-0.33633637021583246,0.019285169543383125
547179,FC,SL,ST,0.22915785894227883,-0.3523130768982535,0.014037860001561778
547179,FF,SI,SL,0.13912670624449097,-0.5388075369348565,0.02134618778975652
547179,FF,SI,ST,0.21096981858515199,-0.24255697117320196,0.02244393894742829
547179,FF,SL,ST,0.2630547864673644,-0.1761738484697726,0.018361557323236438
547179,SI,SL,ST,0.22288488736074644,-0.2544206285575316,0.018811490023235376
547973,FF,SI,SL,0.16436144715122059,-0.3458674077678032,-0.004189571636657128
548384,FC,SI,ST,0.43000905727173494,-0.04286996135950988,-0.007165496488490116
554430,CU,FC,FF,0.3643300188759142,0.11779772724268363,-0.010660966503850561
554430,CU,FC,FS,0.4621637566996526,0.10726450382580692,-0.025107806289296455
554430,CU,FC,SI,0.3436172951891872,0.07559985388357725,-0.012254800487957672
554430,CU,FC,ST,0.34656683095569035,-0.04006562265433839,-0.0037624994358149574
554430,CU,FF,FS,0.47728100634878273,0.2617555631741831,-0.01452213919015886
554430,CU,FF,SI,0.36659690606192247,0.12068691113474113,-0.010753836961837543
554430,CU,FF,ST,0.37138597291592634,0.12679065326093789,-0.006335058968992411
554430,CU,FS,SI,0.2699309103901299,-0.018314619381528785,-0.016565834942839006
554430,CU,FS,ST,0.23908338472291502,-0.339329414868018,-0.009922464750599384
554430,CU,SI,ST,0.1489078218113109,-0.1725604769818251,-0.006427410462520708
554430,FC,FF,FS,0.4035184776472045,-0.2085959759867725,-0.015435327349719278
554430,FC,FF,SI,0.25662353998329485,-0.5580903429320078,-0.011941237838905357
554430,FC,FF,ST,0.30761686898872864,-0.02406098886174492,-0.007489382043172746
554430,FC,FS,SI,0.3850102521019349,-0.24798418128666488,-0.017974031851741613
554430,FC,FS,ST,0.4003669885861499,-0.04107336482908804,-0.011272994701898735
554430,FC,SI,ST,0.2739805882974965,-0.08273014184868839,-0.00912840643547537
554430,FF,FS,SI,0.3918644681595376,-0.2234491970457976,-0.014573056802873118
554430,FF,FS,ST,0.4090607357312534,0.10523083807589163,-0.010680766570917492
554430,FF,SI,ST,0.29053669666620496,-0.04582994104092103,-0.008568531490157363
554430,FS,SI,ST,0.18878708276809533,-0.1913106241076573,-0.013337382360215061
571510,CH,CU,FF,0.46360653007646785,0.49843127449380553,0.0017319828776668853
571510,CH,CU,SL,0.5611746579634113,0.22857213915375185,-0.007698141994276199
571510,CH,FF,SL,0.416532412704335,0.1323516091308812,-0.00066507417676348
571510,CU,FF,SL,0.5922228248740792,0.6623547945873273,-0.0015033694496116314
571578,CH,FC,FF,0.36153409338084713,0.02618965558500545,0.017521896499220566
571578,CH,FC,SI,0.27553069916153344,-0.09096418540922831,0.013696279633351648
571578,CH,FC,SL,0.28570331941024396,-0.2682434775590688,-0.003221212590861545
571578,CH,FF,SI,0.38892412016351496,0.061098681791489896,0.013482171048847118
571578,CH,FF,SL,0.4010531186240338,0.07655728387597531,-0.005196099885922329
571578,CH,SI,SL,0.1542227086698412,-0.24557315504375843,-0.002163007422547942
571578,FC,FF,SI,0.2828057165786679,-0.46215902284168603,0.020431917049947096
571578,FC,FF,SL,0.365861759098477,-0.00440007886496574,0.006339126887657075
571578,FC,SI,SL,0.25724232776379735,-0.15037842005453064,0.006573494214387694
571578,FF,SI,SL,0.371253245143472,0.0024714561331572646,0.0038507154805022216
571927,CH,CU,SI,0.47462536173993214,0.24204232069111212,0.003018186403768274
571945,CH,CU,FF,0.4672920231181203,0.335720316207587,0.0063027508876593846
571945,CH,CU,SI,0.47227940944539376,0.32271625622984484,0.016371607380740595
571945,CH,CU,SL,0.5122266948533204,0.19745212797358325,0.01499706584707778
571945,CH,FF,SI,0.23859835999603582,-0.4093961418728857,0.0074661401079490295
